car_entry_id,year,make,model,trim,miles,offer
0,2017,Honda,Civic,EX Hatchback,34412,17998
1,2019,Honda,Civic,LX,63800,17989
2,2019,Honda,Civic,Sport Hatchback,12890,20998
3,2019,Honda,Civic,LX,61813,18984
4,2022,Honda,Civic,Sport,18145,25597
5,2022,Honda,Civic,LX,36726,23964
6,2019,Honda,Civic,LX,58512,18983
7,2019,Honda,Civic,Type R Hatchback,14329,41968
8,2020,Honda,Civic,LX,17563,23492
9,2020,Honda,Civic,LX,15576,23496
10,2020,Honda,Civic,Sport,34208,23389
11,2020,Honda,Civic,LX,62005,20183
12,2018,Honda,Civic,EX-T,47458,19490
13,2023,Honda,Civic,Touring,3122,31065
14,2023,Honda,Civic,Type R Hatchback,2045,54000
15,2020,Honda,Civic,Si,7569,28479
16,2015,Honda,Civic,LX,77955,14991
17,2022,Honda,Civic,LX,35811,24989
18,2022,Honda,Civic,Sport,12884,26887
19,2021,Honda,Civic,LX,35300,22991
20,2022,Honda,Civic,EX,24062,27491
21,2014,Honda,Civic,EX,60756,16880
22,2017,Honda,Civic,LX,71151,19998
23,2022,Honda,Civic,Sport Hatchback,29839,26988
24,2020,Honda,Civic,EX,11681,25991
25,2022,Honda,Civic,Si,4301,32589
26,2020,Honda,Civic,Sport,45326,23992
27,2022,Honda,Civic,EX,24689,27235
28,2022,Honda,Civic,Si,11121,31999
29,2022,Honda,Civic,Si,18092,31629
30,2020,Honda,Civic,Sport,49117,23988
31,2019,Honda,Civic,Sport,30309,21949
32,2021,Honda,Civic,LX,69135,19988
33,2020,Honda,Civic,EX,34941,24464
34,2021,Honda,Civic,Type R Hatchback,41807,40988
35,2017,Honda,Civic,EX,42772,20899
36,2022,Honda,Civic,Sport Touring Hatchback,17375,29406
37,2022,Honda,Civic,Sport Touring Hatchback,34927,29289
38,2022,Honda,Civic,Touring,30586,27961
39,2017,Honda,Civic,LX-P Coupe,88734,16594
40,2022,Honda,Civic,Sport,17426,27452
41,2022,Honda,Civic,LX,38916,25590
42,2016,Honda,Civic,EX-L,107999,15777
43,2022,Honda,Civic,Sport,25218,27000
44,2016,Honda,Civic,LX,62624,17795
45,2023,Honda,Civic,Sport Hatchback,4253,29808
46,2022,Honda,Civic,Sport,37322,26499
47,2021,Honda,Civic,Sport,29099,23659
48,2016,Honda,Civic,EX-T,105257,16886
49,2015,Honda,Civic,EX,109905,13998
50,2014,Honda,Civic,LX,47377,16998
51,2020,Honda,Civic,Sport,35016,25371
52,2015,Honda,Civic,EX,93800,16990
53,2022,Honda,Civic,EX-L Hatchback,23657,28989
54,2021,Honda,Civic,Sport Hatchback,30785,26995
55,2018,Honda,Civic,Sport Touring Hatchback,27059,25998
56,2015,Honda,Civic,Si,82495,19247
57,2017,Honda,Civic,EX,82532,19589
58,2017,Honda,Civic,Touring,67958,19470
59,2023,Honda,Civic,EX-L Hatchback,3207,30587
60,2022,Honda,Civic,Si,6212,32588
61,2021,Honda,Civic,EX-L,33042,25999
62,2019,Honda,Civic,Sport,85017,21589
63,2020,Honda,Civic,LX,29086,23991
64,2012,Honda,Civic,EX,130757,11491
65,2022,Honda,Civic,Si,2733,33990
66,2014,Honda,Civic,EX,66566,16998
67,2020,Honda,Civic,EX,26901,25906
68,2021,Honda,Civic,Sport,42070,23906
69,2016,Honda,Civic,EX,67989,16450
70,2022,Honda,Civic,Sport Touring Hatchback,6683,35630
71,2015,Honda,Civic,EX-L,132400,15998
72,2015,Honda,Civic,EX,78094,17990
73,2019,Honda,Civic,Si,81916,22999
74,2016,Honda,Civic,EX,166620,12995
75,2020,Honda,Civic,LX,61634,22590
76,2022,Honda,Civic,Sport Touring Hatchback,6340,32998
77,2019,Honda,Civic,EX Hatchback,60388,22988
78,2018,Honda,Civic,Si Coupe,17203,27990
79,2017,Honda,Civic,EX-T,119336,18998
80,2021,Honda,Civic,Touring,22000,28990
81,2020,Honda,Civic,LX,53369,22995
82,2015,Honda,Civic,EX-L,98207,16590
83,2020,Honda,Civic,LX,53369,22995
84,2015,Honda,Civic,EX-L,98207,16590
85,2011,Honda,Civic,Si,157015,9888
86,2015,Honda,Civic,LX,115793,15998
87,2022,Honda,Civic,Touring,20419,30000
88,2016,Honda,Civic,LX,84856,18998
89,2016,Honda,Civic,EX,66530,19990
90,2019,Honda,Civic,LX,37818,22998
91,2021,Honda,Civic,Sport Hatchback,6052,27998
92,2017,Honda,Civic,Touring,66310,22590
93,2019,Honda,Civic,Sport Hatchback,40838,24998
94,2019,Honda,Civic,EX-L,39505,24998
95,2021,Honda,Civic,Type R Hatchback,31357,43475
96,2019,Honda,Civic,Sport,48396,23998
97,2019,Honda,Civic,EX-L,44344,24998
98,2017,Honda,Civic,EX-L,99229,20999
99,2020,Honda,Civic,Touring Coupe,44903,25387
100,2018,Honda,Civic,EX-T,33010,17998
101,2013,Honda,Civic,EX-L,61199,16791
102,2022,Honda,Civic,Sport,34516,27495
103,2022,Honda,Civic,Sport Touring Hatchback,14304,29997
104,2020,Honda,Civic,Sport Hatchback,33040,28000
105,2012,Honda,Civic,LX,150799,9999
106,2015,Honda,Civic,Hybrid,108501,16998
107,2012,Honda,Civic,LX,70572,14995
108,2018,Honda,Civic,LX,70484,20998
109,2017,Honda,Civic,EX-L Coupe,43211,23998
110,2017,Honda,Civic,EX,50758,22998
111,2018,Honda,Civic,Sport Touring Hatchback,98345,22998
112,2020,Honda,Civic,EX-L,69984,23956
113,2021,Honda,Civic,Sport Hatchback,37808,27595
114,2018,Honda,Civic,EX-L,24816,25995
115,2018,Honda,Civic,EX Hatchback,54334,22584
116,2017,Honda,Civic,EX,66866,14999
117,2015,Honda,Civic,EX-L,34375,13950
118,2019,Honda,Civic,LX,26242,18999
119,2023,Honda,Civic,Sport,10733,25987
120,2017,Honda,Civic,LX,63985,16795
121,2016,Honda,Civic,LX,48628,13999
122,2019,Honda,Civic,Sport,67632,16999
123,2018,Honda,Civic,LX,47063,14995
124,2016,Honda,Civic,LX,99000,12999
125,2020,Honda,Civic,Sport,97360,17990
126,2017,Honda,Civic,LX,106480,14900
127,2020,Honda,Civic,EX,22116,20998
128,2017,Honda,Civic,LX,151778,13999
129,2013,Honda,Civic,LX,94451,10998
130,2022,Honda,Civic,Sport,22118,23888
131,2012,Honda,Civic,HF,140000,7500
132,2014,Honda,Civic,EX,76535,14950
133,2008,Honda,Civic,LX,180042,3995
134,2019,Honda,Civic,LX,146698,13695
135,2019,Honda,Civic,Sport,77629,17060
136,2015,Honda,Civic,EX Coupe,113161,10995
137,2008,Honda,Civic,LX,249278,4250
138,2015,Honda,Civic,SE,141835,10900
139,2022,Honda,Civic,Sport,14980,24990
140,2020,Honda,Civic,LX,13057,21743
141,2020,Honda,Civic,Sport Touring Hatchback,68756,23999
142,2020,Honda,Civic,Sport,34847,22901
143,2022,Honda,Civic,EX-L Hatchback,11785,26998
144,2020,Honda,Civic,Sport,34847,22901
145,2018,Honda,Civic,EX-L,106176,16910
146,2019,Honda,Civic,LX,77222,17995
147,2018,Honda,Civic,EX-T,45586,19699
148,2020,Honda,Civic,EX,49770,21992
149,2021,Honda,Civic,EX Hatchback,32110,24476
150,2019,Honda,Civic,Sport,89335,17991
151,2019,Honda,Civic,EX Hatchback,70854,20450
152,2020,Honda,Civic,Sport,55713,21990
153,2020,Honda,Civic,LX,33415,20400
154,2017,Honda,Civic,Si,74314,20950
155,2015,Honda,Civic,EX-L,135136,12995
156,2021,Honda,Civic,LX,45695,20500
157,2022,Honda,Civic,LX,35328,22495
158,2020,Honda,Civic,Sport Hatchback,28168,23999
159,2012,Honda,Civic,LX,120503,9488
160,2016,Honda,Civic,EX,57401,15995
161,2021,Honda,Civic,EX-L,40470,23550
162,2020,Honda,Civic,Sport Hatchback,47063,22950
163,2012,Honda,Civic,LX,99666,10000
164,2012,Honda,Civic,LX,99666,10000
165,2020,Honda,Civic,EX-L,21734,21994
166,2019,Honda,Civic,EX,38450,14900
167,2019,Honda,Civic,Sport Hatchback,43392,15999
168,2022,Honda,Civic,Si,9092,32590
169,2021,Honda,Civic,Sport Hatchback,22106,25000
170,2018,Honda,Civic,LX,49322,12900
171,2016,Honda,Civic,Touring,47344,15499
172,2020,Honda,Civic,Sport Hatchback,42400,17500
173,2018,Honda,Civic,EX,39606,15499
174,2017,Honda,Civic,Touring,69072,18888
175,2014,Honda,Civic,EX Coupe,70481,10999
